350080|喜马拉雅FM|0.001|0.001|0.1|0.3|0.3|0.2|0.1
350081|荔枝FM|0.001|0.001|0.1|0.3|0.3|0.2|0.1
350082|多听FM|0.001|0.001|0.1|0.3|0.3|0.2|0.1
350083|考拉FM电台|0.001|0.001|0.1|0.3|0.3|0.2|0.1
60084|爱唱|0.001|0.001|0|0.2|0.3|0.2|0.3
60085|K歌达人|0.001|0.001|0|0.2|0.3|0.2|0.3
350086|龙卷风收音机|0.001|0.001|0.1|0.3|0.3|0.2|0.1
350087|酷狗FM|0.001|0.001|0.1|0.3|0.3|0.2|0.1
60088|移动练歌房|0.001|0.001|0|0.2|0.3|0.2|0.3
350089|懒人听书|0.001|0.001|0.1|0.3|0.3|0.2|0.1
350090|善听听书|0.001|0.001|0.1|0.3|0.3|0.2|0.1
350091|凤凰FM|0.001|0.001|0.1|0.3|0.3|0.2|0.1
70092|Mobile Market|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70093|豌豆荚|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70094|AppStore|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70095|91助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70096|360手机助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70097|机锋市场|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70098|安智市场|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70099|百度手机助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70100|同步推|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70101|Google Play|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70102|木蚂蚁|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70103|三星应用商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70104|小米应用商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70105|联想乐商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70106|应用宝|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70107|网易应用中心|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70108|Windows Phone应用商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70109|可可软件商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70110|应用汇|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70111|酷派应用商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70112|华为应用市场|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70113|魅族应用中心|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70114|快用苹果助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70115|搜苹果|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70116|海马苹果助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70117|沃商店|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70118|乐趣手机助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70119|搜狗手机助手|0.001|0.001|0.001|0.002|0.002|0.002|0.003
70120|易用汇|0.001|0.001|0.001|0.002|0.002|0.002|0.003
80121|和游戏|0.001|0.001|0.001|0.002|0.002|0.002|0.003
80122|战国天下|0.7|0.3|0.1|0.3|0.3|0.2|0.1
80123|水果派对|0.4|0.6|0|0.2|0.3|0.2|0.3
80124|忍者无极|0.4|0.6|0|0.2|0.3|0.2|0.3
80125|摩天轮|0.001|0.001|0|0.2|0.3|0.2|0.3
80126|17173|0.4|0.6|0|0.2|0.3|0.2|0.3
80127|雷霆战机|0.8|0.2|0.1|0.3|0.3|0.2|0.1
80128|植物大战僵尸|0.6|0.4|0.1|0.3|0.3|0.2|0.1
80129|疯狂猜图|0.4|0.6|0|0.2|0.3|0.2|0.3
80130|捕鱼达人|0.4|0.6|0|0.2|0.3|0.2|0.3
80131|保卫萝卜|0.6|0.4|0.1|0.3|0.3|0.2|0.1
80132|时空猎人|0.9|0.1|0.1|0.3|0.3|0.2|0.1
80133|神魔|0.9|0.1|0.1|0.3|0.3|0.2|0.1
80134|大掌门|0.7|0.3|0.1|0.3|0.3|0.2|0.1
80135|富豪传奇|0.6|0.4|0.1|0.3|0.3|0.2|0.1
80136|部落冲突|0.7|0.3|0.1|0.3|0.3|0.2|0.1
80137|刀塔传奇|0.8|0.2|0.1|0.3|0.3|0.2|0.1
80138|全民突击|0.9|0.1|0.1|0.3|0.3|0.2|0.1
80139|我叫MT2|0.8|0.2|0.1|0.3|0.3|0.2|0.1
90140|工商银行|0.7|0.3|0|0.2|0.3|0.2|0.3
90141|中国建设银行|0.7|0.3|0|0.2|0.3|0.2|0.3
90142|兴业银行|0.7|0.3|0|0.2|0.3|0.2|0.3
90143|移动手机支付|0.6|0.4|0|0.2|0.3|0.2|0.3
90144|支付宝|0.6|0.4|0|0.2|0.3|0.2|0.3
90145|移动手机钱包|0.6|0.4|0|0.2|0.3|0.2|0.3
90146|财付通|0.6|0.4|0|0.2|0.3|0.2|0.3
90147|拉卡拉|0.6|0.4|0|0.2|0.3|0.2|0.3
90148|快钱|0.6|0.4|0|0.2|0.3|0.2|0.3
100149|和动漫|0.001|0.001|0.001|0.002|0.002|0.002|0.003
100150|布卡漫画|0.7|0.3|0.1|0.3|0.3|0.2|0.1
100151|暴走漫画|0.7|0.3|0.1|0.3|0.3|0.2|0.1
100152|看动漫|0.7|0.3|0.1|0.3|0.3|0.2|0.1
110153|163邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110154|126邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110155|新浪邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110156|搜狐邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110157|QQ邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110158|雅虎邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110159|live邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110160|21CN邮箱|0.001|0.001|0|0.2|0.3|0.2|0.3
110161|诚信邮|0.001|0.001|0|0.2|0.3|0.2|0.3
50162|迅雷看看|0.001|0.001|0|0.2|0.3|0.2|0.3
50163|PPTV|0.001|0.001|0|0.2|0.3|0.2|0.3
50164|UUSee网络电视|0.001|0.001|0|0.2|0.3|0.2|0.3
50165|暴风影音|0.001|0.001|0|0.2|0.3|0.2|0.3
50166|PPS影音|0.001|0.001|0|0.2|0.3|0.2|0.3
120167|迅雷|0.001|0.001|0.001|0.002|0.002|0.002|0.003
120168|电驴|0.001|0.001|0|0.2|0.3|0.2|0.3
120169|BitTorrent|0.001|0.001|0|0.2|0.3|0.2|0.3
50170|风行|0.001|0.001|0|0.2|0.3|0.2|0.3
130171|有信|0.001|0.001|0|0.2|0.3|0.2|0.3
130172|uu手机网络电话|0.001|0.001|0|0.2|0.3|0.2|0.3
130173|阿里通|0.001|0.001|0|0.2|0.3|0.2|0.3
130174|飞音网络电话|0.001|0.001|0|0.2|0.3|0.2|0.3
130175|3G手机网络电话|0.001|0.001|0|0.2|0.3|0.2|0.3
130176|必通|0.001|0.001|0|0.2|0.3|0.2|0.3
130177|爱聊|0.001|0.001|0|0.2|0.3|0.2|0.3
130178|易聊|0.001|0.001|0|0.2|0.3|0.2|0.3
130179|qq voice|0.001|0.001|0|0.2|0.3|0.2|0.3
140180|彩信|0.8|0.2|0|0.2|0.3|0.2|0.3
140181|手机报|0.8|0.2|0|0.2|0.3|0.2|0.3
180182|腾讯网|0.8|0.2|0|0.2|0.3|0.2|0.3
180183|新浪网|0.8|0.2|0|0.2|0.3|0.2|0.3
180184|搜狐网|0.8|0.2|0|0.2|0.3|0.2|0.3
180185|网易|0.8|0.2|0|0.2|0.3|0.2|0.3
180186|凤凰网|0.8|0.2|0|0.2|0.3|0.2|0.3
180187|人民网|0.8|0.2|0|0.2|0.3|0.2|0.3
180188|新华网|0.8|0.2|0|0.2|0.3|0.2|0.3
180189|中华网|0.8|0.2|0|0.2|0.3|0.2|0.3
180190|新浪财经|0.8|0.2|0|0.2|0.3|0.2|0.3
180191|凤凰财经|0.8|0.2|0|0.2|0.3|0.2|0.3
180192|金融界|0.8|0.2|0|0.2|0.3|0.2|0.3
180193|中国经济网|0.8|0.2|0|0.2|0.3|0.2|0.3
180194|证券之星|0.8|0.2|0|0.2|0.3|0.2|0.3
180195|网易财经|0.8|0.2|0|0.2|0.3|0.2|0.3
180196|搜狐财经|0.8|0.2|0|0.2|0.3|0.2|0.3
180197|华讯财经|0.8|0.2|0|0.2|0.3|0.2|0.3
180198|和讯网|0.8|0.2|0|0.2|0.3|0.2|0.3
20199|起点中文|0.001|0.001|0.1|0.3|0.3|0.2|0.1
20200|17k小说网|0.001|0.001|0.1|0.3|0.3|0.2|0.1
20201|豆瓣读书|0.001|0.001|0.1|0.3|0.3|0.2|0.1
20202|晋江文学城|0.001|0.001|0.1|0.3|0.3|0.2|0.1
20203|腾讯读书|0.001|0.001|0.1|0.3|0.3|0.2|0.1
10204|人人网|0.001|0.001|0|0.2|0.3|0.2|0.3
10205|QQ空间|0.001|0.001|0|0.2|0.3|0.2|0.3
10206|开心网|0.001|0.001|0|0.2|0.3|0.2|0.3
280207|世纪佳缘|0.001|0.001|0|0.2|0.3|0.2|0.3
10208|51.com|0.001|0.001|0|0.2|0.3|0.2|0.3
280209|百合网|0.001|0.001|0|0.2|0.3|0.2|0.3
280210|朋友网|0.001|0.001|0|0.2|0.3|0.2|0.3
280211|珍爱网|0.001|0.001|0|0.2|0.3|0.2|0.3
250212|酷讯|0.001|0.001|0|0.1|0.3|0.3|0.3
240213|58同城|0.001|0.001|0.001|0.002|0.002|0.002|0.003
250214|去哪儿|0.001|0.001|0|0.1|0.3|0.3|0.3
330215|掌中天涯|0.001|0.001|0|0.2|0.3|0.2|0.3
180216|新浪新闻|0.8|0.2|0|0.2|0.3|0.2|0.3
330217|掌上猫扑|0.001|0.001|0|0.2|0.3|0.2|0.3
240218|掌上链家|0.6|0.4|0|0.1|0.3|0.2|0.4
180219|中金在线|0.7|0.3|0|0.2|0.3|0.2|0.3
230220|拉手团购|0.4|0.6|0|0.1|0.3|0.3|0.3
230221|美团|0.4|0.6|0|0.1|0.3|0.3|0.3
230222|窝窝团|0.4|0.6|0|0.1|0.3|0.3|0.3
